# ESGMap 2025.bc8f6c8 · generated 2026-06-09 · edition year 2025 · CC BY 4.0
# Sources: Our World in Data — Energy (retrieved 2026-06-09); Our World in Data — CO₂ and Greenhouse Gas Emissions (retrieved 2026-06-09); World Bank — Forest area (% of land), FAO FRA (retrieved 2026-06-09); World Bank — PM2.5 mean annual exposure (WHO / IHME) (retrieved 2026-06-09); ESGMap curated policy layer — UNFCCC NDC Registry; Climate Watch (WRI); Net Zero Tracker (Oxford/ECIU); IFRS Foundation jurisdiction profiles; IEA Global EV Outlook; ND-GAIN Country Index (retrieved 2026-06-09)
# 'NA' = no upstream value (never fabricated / never 0).
iso3,name,year,metric,value,interpolated
AFG,Afghanistan,2000,renewable,64.6,0
AFG,Afghanistan,2000,carbon,250,0
AFG,Afghanistan,2001,renewable,72.5,0
AFG,Afghanistan,2001,carbon,217,0
AFG,Afghanistan,2002,renewable,78.9,0
AFG,Afghanistan,2002,carbon,169,0
AFG,Afghanistan,2003,renewable,69.2,0
AFG,Afghanistan,2003,carbon,242,0
AFG,Afghanistan,2004,renewable,70.9,0
AFG,Afghanistan,2004,carbon,228,0
AFG,Afghanistan,2005,renewable,72,0
AFG,Afghanistan,2005,carbon,220,0
AFG,Afghanistan,2006,renewable,71.1,0
AFG,Afghanistan,2006,carbon,256,0
AFG,Afghanistan,2007,renewable,74.3,0
AFG,Afghanistan,2007,carbon,228,0
AFG,Afghanistan,2008,renewable,69.2,0
AFG,Afghanistan,2008,carbon,256,0
AFG,Afghanistan,2009,renewable,87.6,0
AFG,Afghanistan,2009,carbon,112,0
AFG,Afghanistan,2010,renewable,85.2,0
AFG,Afghanistan,2010,carbon,136,0
AFG,Afghanistan,2011,renewable,77.9,0
AFG,Afghanistan,2011,carbon,195,0
AFG,Afghanistan,2012,renewable,84.1,0
AFG,Afghanistan,2012,carbon,148,0
AFG,Afghanistan,2013,renewable,80.2,0
AFG,Afghanistan,2013,carbon,180,0
AFG,Afghanistan,2014,renewable,86.2,0
AFG,Afghanistan,2014,carbon,129,0
AFG,Afghanistan,2015,renewable,87.3,0
AFG,Afghanistan,2015,carbon,119,0
AFG,Afghanistan,2016,renewable,87.6,0
AFG,Afghanistan,2016,carbon,116,0
AFG,Afghanistan,2017,renewable,86.5,0
AFG,Afghanistan,2017,carbon,127,0
AFG,Afghanistan,2018,renewable,82.9,0
AFG,Afghanistan,2018,carbon,154,0
AFG,Afghanistan,2019,renewable,87.7,0
AFG,Afghanistan,2019,carbon,116,0
AFG,Afghanistan,2020,renewable,89.8,0
