# ESGMap 2025.f27eab0 · generated 2026-06-09 · edition year 2025 · CC BY 4.0
# Sources: Our World in Data — Energy (retrieved 2026-06-09); Our World in Data — CO₂ and Greenhouse Gas Emissions (retrieved 2026-06-09); World Bank — Forest area (% of land), FAO FRA (retrieved 2026-06-09); World Bank — PM2.5 mean annual exposure (WHO / IHME) (retrieved 2026-06-09); ESGMap curated policy layer — UNFCCC NDC Registry; Climate Watch (WRI); Net Zero Tracker (Oxford/ECIU); IFRS Foundation jurisdiction profiles; IEA Global EV Outlook; ND-GAIN Country Index (retrieved 2026-06-09)
# 'NA' = no upstream value (never fabricated / never 0).
iso3,name,region,metric,value,year,unit,source
AFG,Afghanistan,Asia,renewable,86.9,2024,%,owid-energy
AFG,Afghanistan,Asia,carbon,131,2024,gCO2/kWh,owid-energy
AFG,Afghanistan,Asia,co2pc,0.3,2024,t/yr,owid-co2
AFG,Afghanistan,Asia,energy,23,2024,kWh/yr,owid-energy
AFG,Afghanistan,Asia,forest,1.9,2023,% land,wb-forest
AFG,Afghanistan,Asia,pm25,46.1,2020,µg/m³,wb-pm25
AFG,Afghanistan,Asia,climate,78,2025,/100,esgmap-curated
AFG,Afghanistan,Asia,ev,NA,2025,%,esgmap-curated
AFG,Afghanistan,Asia,score,81,2025,/100,derived
AFG,Afghanistan,Asia,netZero,NA,2025,year,esgmap-curated
DZA,Algeria,Africa,renewable,1.1,2024,%,owid-energy
DZA,Algeria,Africa,carbon,633,2024,gCO2/kWh,owid-energy
DZA,Algeria,Africa,co2pc,4.2,2024,t/yr,owid-co2
DZA,Algeria,Africa,energy,2058,2024,kWh/yr,owid-energy
DZA,Algeria,Africa,forest,0.8,2023,% land,wb-forest
DZA,Algeria,Africa,pm25,25.6,2020,µg/m³,wb-pm25
DZA,Algeria,Africa,climate,50,2025,/100,esgmap-curated
DZA,Algeria,Africa,ev,NA,2025,%,esgmap-curated
DZA,Algeria,Africa,score,32,2025,/100,derived
DZA,Algeria,Africa,netZero,NA,2025,year,esgmap-curated
AGO,Angola,Africa,renewable,73.7,2024,%,owid-energy
AGO,Angola,Africa,carbon,185,2024,gCO2/kWh,owid-energy
AGO,Angola,Africa,co2pc,0.6,2024,t/yr,owid-co2
AGO,Angola,Africa,energy,411,2024,kWh/yr,owid-energy
AGO,Angola,Africa,forest,52.1,2023,% land,wb-forest
AGO,Angola,Africa,pm25,25.1,2020,µg/m³,wb-pm25
AGO,Angola,Africa,climate,62,2025,/100,esgmap-curated
AGO,Angola,Africa,ev,NA,2025,%,esgmap-curated
AGO,Angola,Africa,score,76,2025,/100,derived
AGO,Angola,Africa,netZero,NA,2025,year,esgmap-curated
ARG,Argentina,Americas,renewable,34.6,2025,%,owid-energy
ARG,Argentina,Americas,carbon,346,2025,gCO2/kWh,owid-energy
ARG,Argentina,Americas,co2pc,3.7,2024,t/yr,owid-co2
ARG,Argentina,Americas,energy,3340,2025,kWh/yr,owid-energy
ARG,Argentina,Americas,forest,10.3,2023,% land,wb-forest
ARG,Argentina,Americas,pm25,14.9,2020,µg/m³,wb-pm25
ARG,Argentina,Americas,climate,38,2025,/100,esgmap-curated
ARG,Argentina,Americas,ev,1,2025,%,esgmap-curated
ARG,Argentina,Americas,score,56,2025,/100,derived
