# ESGMap 2025.f27eab0 · generated 2026-06-09 · edition year 2025 · CC BY 4.0
# Sources: Our World in Data — Energy (retrieved 2026-06-09); Our World in Data — CO₂ and Greenhouse Gas Emissions (retrieved 2026-06-09); World Bank — Forest area (% of land), FAO FRA (retrieved 2026-06-09); World Bank — PM2.5 mean annual exposure (WHO / IHME) (retrieved 2026-06-09); ESGMap curated policy layer — UNFCCC NDC Registry; Climate Watch (WRI); Net Zero Tracker (Oxford/ECIU); IFRS Foundation jurisdiction profiles; IEA Global EV Outlook; ND-GAIN Country Index (retrieved 2026-06-09)
# 'NA' = no upstream value (never fabricated / never 0).
iso3,name,region,tier,capital,renewable,renewable_year,carbon,carbon_year,co2pc,co2pc_year,energy,energy_year,forest,forest_year,pm25,pm25_year,climate,ev,score,netZero,paris,netZero,ifrsS1,ifrsS2,mix_hydro,mix_wind,mix_solar,mix_nuclear,mix_fossil,mix_other
AFG,Afghanistan,Asia,base,NA,86.9,2024,131,2024,0.3,2024,23,2024,1.9,2023,46.1,2020,78,NA,81,NA,NA,NA,NA,NA,75.8,0,11.1,0,13.1,0
DZA,Algeria,Africa,base,NA,1.1,2024,633,2024,4.2,2024,2058,2024,0.8,2023,25.6,2020,50,NA,32,NA,NA,NA,NA,NA,0,0,1,0,98.9,0
AGO,Angola,Africa,base,NA,73.7,2024,185,2024,0.6,2024,411,2024,52.1,2023,25.1,2020,62,NA,76,NA,NA,NA,NA,NA,70.6,0,2.8,0,26.3,0.3
ARG,Argentina,Americas,rich,Buenos Aires,34.6,2025,346,2025,3.7,2024,3340,2025,10.3,2023,14.9,2020,38,1,56,2050,ratified,2050,none,none,17.1,12.2,3.4,7,58.4,1.9
AUS,Australia,Oceania,rich,Canberra,38.6,2025,525,2025,14.5,2024,10615,2025,17.4,2023,8.3,2020,38,8,48,2050,ratified,2050,mandatory,mandatory,4.3,13.7,19.6,0,61.4,1.1
AUT,Austria,Europe,rich,Vienna,83.6,2025,117,2025,6.2,2024,8034,2025,47.2,2023,10.9,2020,26,20,82,2040,ratified,2040,adopting,adopting,51.8,11.3,14.1,0,16.4,6.4
AZE,Azerbaijan,Eurasia,base,NA,12.1,2025,632,2025,3.9,2024,2702,2025,14.1,2023,21.7,2020,45,NA,37,NA,NA,NA,NA,NA,11.5,0.3,0,0,87.9,0.4
BGD,Bangladesh,Asia,rich,Dhaka,2.1,2025,696,2025,0.6,2024,589,2025,14.5,2023,42.4,2020,75,0.5,31,NA,ratified,NA,none,none,0.6,0,1.5,0,97.9,0
BLR,Belarus,Europe,base,NA,4.8,2025,309,2025,6.2,2024,5154,2025,43.4,2023,14.6,2020,34,NA,45,NA,NA,NA,NA,NA,2,1,0.8,36.6,58.6,1
BEL,Belgium,Europe,rich,Brussels,38.9,2025,150,2025,7.3,2024,6199,2025,22.6,2023,11.2,2020,28,28,65,2050,ratified,2050,adopting,adopting,0.6,18.8,14.3,33.1,28,5.2
